Country,Indices,Last,High,Low,Chg.,Chg%,Date/Time
Hong Kong,Hang Seng,"16,600.46","16,647.09","16,465.40",-121.23,-0.72%,04:08:28
Hong Kong,FTSE EPRA/NAREIT Hong Kong,"1,003.24","1,011.91",999.94,-10.89,-1.07%,04:14:00
Hong Kong,Hang Seng CCI,"3,461.20","3,478.23","3,426.57",-0.37,-0.01%,01:00:00
Hong Kong,Hang Seng CEI,"5,856.44","5,871.42","5,795.02",-23.14,-0.39%,04:08:28
Hungary,Budapest SE,"67,289.07","67,866.83","67,155.52",+84.00,+0.12%,12/04
Hungary,BUMIX,"6,069.80","6,093.89","6,043.77",-2.24,-0.04%,12/04
Hungary,FTSE Hungary,"5,557.32","5,557.32","5,557.32",+0.00,+0.00%,12/04
Hungary,HTX (EUR),"5,509.74","5,599.49","5,498.28",-63.25,-1.13%,12/04
Hungary,HTX (HUF),"14,062.98","14,187.62","14,029.28",-32.73,-0.23%,12/04
Hungary,HTX (USD),"5,857.13","5,980.39","5,845.87",-109.03,-1.83%,12/04
Iceland,ICEX Main,"2,083.83","2,083.83","2,063.07",+20.76,+1.01%,11:30:34
Iceland,ICEX All Share Total Return,"1,220.05","1,220.05","1,207.89",+12.16,+1.01%,11:30:34
Iceland,OMX Iceland Mid Cap PI,114.43,114.56,114.09,+0.33,+0.29%,11:23:34
Iceland,OMX Iceland Small Cap PI,371.53,371.84,369.72,-0.31,-0.08%,11:21:34
Iceland,OMXI15 ISK Index,"2,360.20","2,363.21","2,349.98",+10.22,+0.43%,11:30:34
India,BSE Sensex,"73,399.78","73,905.80","73,315.16",-845.12,-1.14%,06:01:57
India,Nifty 50,"22,272.50","22,427.45","22,259.55",-246.90,-1.10%,06:02:23
India,Nifty Midcap 150,"18,283.20","18,392.95","18,062.40",-251.50,-1.36%,06:02:23
India,India VIX,12.4675,12.7375,11.3075,+0.9350,+8.11%,06:03:13
India,Nifty 100,"22,967.10","23,139.30","22,908.60",-287.80,-1.24%,06:02:23
India,Nifty 200,"12,397.40","12,489.90","12,352.10",-161.90,-1.29%,06:02:23
India,Nifty 50 USD,"9,353.41","9,353.41","9,353.41",-123.35,-1.30%,12/04
India,Nifty 50 Value 20,"12,204.90","12,291.90","12,197.35",-125.65,-1.02%,06:02:23
India,Nifty 500,"20,478.75","20,623.80","20,362.30",-266.75,-1.29%,06:02:23
India,NIFTY Midcap 100,"49,281.00","49,644.75","48,785.85",-786.55,-1.57%,06:02:23
India,Nifty Midcap 50,"13,841.30","13,935.45","13,752.65",-207.80,-1.48%,06:02:23
India,Nifty Next 50,"62,008.15","62,716.65","61,330.00",-1059.70,-1.68%,06:02:23
India,NIFTY Smallcap 100,"16,211.00","16,363.30","15,911.85",-285.40,-1.73%,06:02:23
India,Nifty Smallcap 250,"15,086.65","15,201.75","14,792.10",-235.50,-1.54%,06:02:23
India,NIfty smallcap 50,"7,543.00","7,610.75","7,411.55",-106.75,-1.40%,06:02:23
India,S&P BSE ALLCAP,"9,420.72","9,486.00","9,330.79",-123.65,-1.30%,06:01:56
India,BSE MidCap,"40,293.72","40,602.01","39,499.64",-615.31,-1.50%,06:01:56
India,BSE SmallCap,"45,166.87","45,487.40","44,272.65",-705.20,-1.54%,06:01:56
India,S&P BSE-100,"23,334.16","23,496.87","23,214.96",-277.05,-1.17%,06:01:57
India,S&P BSE-200,"10,150.36","10,222.78","10,073.13",-125.36,-1.22%,06:01:56
India,S&P BSE-500,"32,365.11","32,588.12","32,074.46",-407.15,-1.24%,06:01:56
Indonesia,IDX Composite,"7,286.88","7,298.86","7,239.27",+32.48,+0.45%,05/04
Indonesia,FTSE Indonesia,"3,705.59","3,705.59","3,705.59",-13.33,-0.36%,12/04
Indonesia,IDX Kompas 100,"1,175.24","1,181.67","1,173.98",-2.92,-0.25%,05/04
Indonesia,IDX PEFINDO-25,223.05,225.33,223.05,-1.68,-0.75%,05/04
Indonesia,IDX LQ45,963.73,970.61,963.49,-4.04,-0.42%,05/04
Iraq,ISX Main 60,919.40,919.40,919.40,+7.89,+0.87%,06:55:00
Ireland,ISEQ Overall,"9,891.51","10,097.77","9,842.94",-92.16,-0.92%,12/04
Ireland,FTSE Ireland,443.26,443.26,443.26,0.00,0.00%,12/04
Ireland,ISEQ 20 Price,"1,642.94","1,674.95","1,635.94",-13.96,-0.84%,12/04
Ireland,ISEQ Small Capital,977.81,985.13,977.81,0.00,0.00%,12/04
Israel,TA 35,"1,914.43","1,968.33","1,911.98",-23.75,-1.23%,10:24:59
Israel,TA 125,"1,938.67","1,989.87","1,934.94",-20.37,-1.04%,10:35:59
Israel,TA 90,"2,083.48","2,127.43","2,072.08",-8.86,-0.42%,10:35:59
Israel,TA Allshare,"1,792.84","1,827.75","1,786.72",-4.22,-0.23%,10:35:59
Israel,TA Growth,"1,568.87","1,579.90","1,560.46",+10.98,+0.70%,10:35:59
Israel,TA-SME60,694.72,708.42,691.19,+0.07,+0.01%,10:35:59
Israel,TASE VIX VTA35,24.75,25.51,18.97,+0.70,+2.91%,10:35:59
